"Commit Hash","Commit Message","File Name","Source Code Before File Path","Source Code After File Path","Diff File Path"
"33850c0ebd23ae615e6823993d441f46d80b1ff0","Initial checkin of stuff that exists so far.",".gitignore","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_.gitignore_before.txt","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_.gitignore_after.txt","diffs\33850c0ebd23ae615e6823993d441f46d80b1ff0_.gitignore_diff.txt"
"33850c0ebd23ae615e6823993d441f46d80b1ff0","Initial checkin of stuff that exists so far.","apishowcase.py","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_apishowcase.py_before.txt","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_apishowcase.py_after.txt","diffs\33850c0ebd23ae615e6823993d441f46d80b1ff0_apishowcase.py_diff.txt"
"33850c0ebd23ae615e6823993d441f46d80b1ff0","Initial checkin of stuff that exists so far.","style.css","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_style.css_before.txt","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_style.css_after.txt","diffs\33850c0ebd23ae615e6823993d441f46d80b1ff0_style.css_diff.txt"
"33850c0ebd23ae615e6823993d441f46d80b1ff0","Initial checkin of stuff that exists so far.","counter.html","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_counter.html_before.txt","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_counter.html_after.txt","diffs\33850c0ebd23ae615e6823993d441f46d80b1ff0_counter.html_diff.txt"
"33850c0ebd23ae615e6823993d441f46d80b1ff0","Initial checkin of stuff that exists so far.","hello.html","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_hello.html_before.txt","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_hello.html_after.txt","diffs\33850c0ebd23ae615e6823993d441f46d80b1ff0_hello.html_diff.txt"
"33850c0ebd23ae615e6823993d441f46d80b1ff0","Initial checkin of stuff that exists so far.","index.html","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_index.html_before.txt","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_index.html_after.txt","diffs\33850c0ebd23ae615e6823993d441f46d80b1ff0_index.html_diff.txt"
"33850c0ebd23ae615e6823993d441f46d80b1ff0","Initial checkin of stuff that exists so far.","layout.html","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_layout.html_before.txt","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_layout.html_after.txt","diffs\33850c0ebd23ae615e6823993d441f46d80b1ff0_layout.html_diff.txt"
"33850c0ebd23ae615e6823993d441f46d80b1ff0","Initial checkin of stuff that exists so far.","minitwit.py","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_minitwit.py_before.txt","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_minitwit.py_after.txt","diffs\33850c0ebd23ae615e6823993d441f46d80b1ff0_minitwit.py_diff.txt"
"33850c0ebd23ae615e6823993d441f46d80b1ff0","Initial checkin of stuff that exists so far.","schema.sql","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_schema.sql_before.txt","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_schema.sql_after.txt","diffs\33850c0ebd23ae615e6823993d441f46d80b1ff0_schema.sql_diff.txt"
"33850c0ebd23ae615e6823993d441f46d80b1ff0","Initial checkin of stuff that exists so far.","style.css","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_style.css_before.txt","codes\33850c0ebd23ae615e6823993d441f46d80b1ff0_style.css_after.txt","diffs\33850c0ebd23ae615e6823993d441f46d80b1ff0_style.css_diff.txt"
